"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2784","Add on - PAY-006 Cart page shows complete step","webkit","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-006-cart-page-shows-complete-step.spec.js","",""
"","2779","USER-010 Register page shows email field","webkit","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-010-register-page-shows-email-field.spec.js","",""
"","1833","Add on - PAY-011 Gift card product has add to cart button","firefox","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-011-gift-card-product-has-add-to-cart-button.spec.js","",""
"","2045","Add on - PAY-001 Empty cart keeps user on shopping cart page","chromium","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-001-empty-cart-keeps-user-on-shopping-cart-page.spec.js","",""
"","2649","WISH-001 Wishlist page opens","webkit","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-001-wishlist-page-opens.spec.js","",""
"","2782","AUTH-003 Login page shows login button","webkit","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-003-login-page-shows-login-button.spec.js","",""
"","2655","Add on - INFO-015 Footer social links are visible","chromium","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-015-footer-social-links-are-visible.spec.js","",""
"","3282","Add on - PAY-011 Gift card product has add to cart button","webkit","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-011-gift-card-product-has-add-to-cart-button.spec.js","",""
"","4434","ADDR-012 Footer has shipping returns link","webkit","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-012-footer-has-shipping-returns-link.spec.js","",""
"","1982","Add on - PAY-003 Cart page is available before checkout","chromium","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-003-cart-page-is-available-before-checkout.spec.js","",""
"","1877","USER-014 Password recovery page supports account recovery","firefox","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-014-password-recovery-page-supports-account-recovery.spec.js","",""
"","1979","AUTH-008 Register page opens correctly","chromium","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-008-register-page-opens-correctly.spec.js","",""
"","1977","Add on - INFO-001 Contact us page opens","chromium","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-001-contact-us-page-opens.spec.js","",""
"","2872","CART-007 Computer product has add to cart controls","chromium","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-007-computer-product-has-add-to-cart-controls.spec.js","",""
"","4336","USER-006 Footer exposes orders link","webkit","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-006-footer-exposes-orders-link.spec.js","",""
"","1695","Add on - PAY-005 Cart page shows confirm step","firefox","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-005-cart-page-shows-confirm-step.spec.js","",""
"","2518","PROD-007 Digital downloads category opens","chromium","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-007-digital-downloads-category-opens.spec.js","",""
"","3464","PROD-013 Book product page shows price and shipping text","webkit","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-013-book-product-page-shows-price-and-shipping-text.spec.js","",""
"","2646","ADDR-013 Sitemap includes shipping returns link","webkit","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-013-sitemap-includes-shipping-returns-link.spec.js","",""
"","2164","AUTH-014 Protected orders page redirects guest user to login","chromium","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-014-protected-orders-page-redirects-guest-user-to-login.spec.js","",""
"","1999","Add on - INFO-009 About us page opens","chromium","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-009-about-us-page-opens.spec.js","",""
"","2566","ADDR-006 Health book product displays delivery date","firefox","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-006-health-book-product-displays-delivery-date.spec.js","",""
"","1689","WISH-012 Email a friend form has friend email field","firefox","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-012-email-a-friend-form-has-friend-email-field.spec.js","",""
"","1716","CART-001 Empty cart page opens","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-001-empty-cart-page-opens.spec.js","",""
"","2765","AUTH-009 Register page shows gender choices","webkit","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-009-register-page-shows-gender-choices.spec.js","",""
"","3153","AUTH-013 Protected account page redirects guest user to login","webkit","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-013-protected-account-page-redirects-guest-user-to-login.spec.js","",""
"","3651","WISH-009 New products page opens","webkit","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-009-new-products-page-opens.spec.js","",""
"","1968","AUTH-001 Login page opens with correct title and heading","chromium","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-001-login-page-opens-with-correct-title-and-heading.spec.js","",""
"","1910","PROD-005 Electronics category shows subcategories","chromium","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-005-electronics-category-shows-subcategories.spec.js","",""
"","2782","Add on - INFO-010 News page opens","webkit","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-010-news-page-opens.spec.js","",""
"","2687","CART-004 Cart footer link is visible","chromium","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-004-cart-footer-link-is-visible.spec.js","",""
